name,birth,ranking_visib_5criteria,date_added_to_alivewatch
Glynis_Johns,1923,8961.0,2023-10-30
William_Russell_(actor),1924,45590.0,2023-10-30
Peter_Green_(historian),1924,77920.0,2023-10-30
Peter_Hirsch,1925,98321.5,2023-10-30
Joseph_Rykwert,1926,89934.5,2023-10-30
Meredith_Belbin,1926,90585.0,2023-10-30
Cleo_Laine,1927,21818.0,2023-10-30
John_Boardman_(art_historian),1927,62703.0,2023-10-30
Rosemary_Harris,1927,8617.0,2023-10-30
Roland_Huntford,1927,95751.0,2023-10-30
Desmond_Morris,1928,10112.5,2023-08-30
Michael_Craig_(actor),1928,69580.0,2023-10-30
Joss_Ackland,1928,16696.0,2023-10-30
Len_Deighton,1929,13010.0,2023-10-30
Patricia_Routledge,1929,12741.0,2023-10-30
Joan_Plowright,1929,5327.0,2023-10-30
Billy_Williams_(cinematographer),1929,83858.0,2023-10-30
Peter_Higgs,1929,7136.5,2023-10-30
Alasdair_MacIntyre,1929,8065.0,2023-10-30
Lynne_Reid_Banks,1929,96296.0,2023-10-30
Douglas_Hurd,1930,24600.0,2023-10-30
Kenneth_Frampton,1930,39111.0,2023-10-30
Bernie_Ecclestone,1930,15811.0,2023-10-30
Alan_Walker_(musicologist),1930,93415.0,2023-10-30
John_Scott_(composer),1930,80437.5,2023-10-30
Anthony_Kenny,1931,37074.0,2023-10-30
Claire_Bloom,1931,5897.0,2023-10-30
Caroline_Graham,1931,40231.0,2023-10-30
Roger_Penrose,1931,2566.0,2023-10-30
Bridget_Riley,1931,13226.0,2023-10-30
Norman_Tebbit,1931,33132.0,2023-10-30
Virginia_McKenna,1931,18230.0,2023-10-30
Frank_Auerbach,1931,32773.0,2023-10-30
Alexander_Goehr,1932,61204.0,2023-10-30
Petula_Clark,1932,3530.0,2023-10-30
Ray_Cooney,1932,42275.0,2023-10-30
Dennis_Skinner,1932,54213.0,2023-10-30
John_Glen_(director),1932,23410.0,2023-10-30
Kenneth_Kitchen,1932,82747.0,2023-10-30
Quentin_Blake,1932,13453.0,2023-10-30
Phyllida_Law,1932,25552.0,2023-10-30
Roy_Hattersley,1932,59545.0,2023-10-30
John_Nott,1932,95508.5,2023-10-30
Peter_Blake_(artist),1932,15358.0,2023-10-30
Michael_Deeley,1932,93094.5,2023-10-30
Prunella_Scales,1932,21225.0,2023-10-30
Neal_Ascherson,1932,84099.0,2023-10-30
Anne_Heywood,1932,55304.0,2023-10-30
Antonia_Fraser,1932,18083.0,2023-10-30
Angela_Mortimer,1932,97940.5,2023-10-30
Brian_Murphy_(actor),1932,90219.0,2023-10-30
Bat_Ye'or,1933,35205.0,2023-10-30
Michael_Frayn,1933,18340.0,2023-10-30
Janet_Baker,1933,23523.0,2023-10-30
Penelope_Lively,1933,26659.0,2023-10-30
Si̢n_Phillips,1933,12785.5,2023-10-30
"Katharine,_Duchess_of_Kent",1933,42471.0,2023-10-30
Joan_Collins,1933,2330.0,2023-10-30
Barbara_Taylor_Bradford,1933,49177.0,2023-10-30
Michael_Heseltine,1933,12434.0,2023-10-30
Claire_Tomalin,1933,76343.0,2023-10-30
John_Mayall,1933,6576.0,2023-10-30
Sheila_Hancock,1933,22520.0,2023-10-30
G._E._R._Lloyd,1933,85924.0,2023-10-30
Patrick_Godfrey,1933,79739.0,2023-10-30
Geoffrey_Horne,1933,91741.0,2023-10-30
H._D._Deve_Gowda,1933,38343.0,2023-10-30
Michael_Aspel,1933,67000.0,2023-10-30
Theodore_Zeldin,1933,82787.0,2023-10-30
John_Boorman,1933,6944.5,2023-10-30
John_Gurdon,1933,13700.0,2023-10-30
Aidan_Chambers,1934,62999.0,2023-10-30
Wendy_Craig,1934,68352.0,2023-10-30
Tom_Baker,1934,5834.5,2023-10-30
Jean_Marsh,1934,18911.0,2023-10-30
Eileen_Atkins,1934,7145.0,2023-10-30
Pratibha_Patil,1934,23656.0,2023-10-30
Annette_Crosbie,1934,54093.5,2023-10-30
"Kenneth_Baker,_Baron_Baker_of_Dorking",1934,86861.0,2023-10-30
"Richard_Layard,_Baron_Layard",1934,67205.0,2023-10-30
Alan_Garner,1934,34219.5,2023-10-30
Richard_Swinburne,1934,28082.5,2023-10-30
Tony_Hoare,1934,9501.0,2023-10-30
Alan_Bennett,1934,7730.0,2023-10-30
John_Standing,1934,32298.0,2023-10-30
C._N._R._Rao,1934,14317.0,2023-10-30
Chris_Bonington,1934,32509.0,2023-10-30
Edward_Bond,1934,26683.0,2023-10-30
Nanette_Newman,1934,73580.0,2023-10-30
Jane_Goodall,1934,1357.0,2023-10-30
Efraim_Halevy,1934,82860.0,2023-10-30
Timothy_West,1934,17554.0,2023-10-30
Alan_Baddeley,1934,44826.0,2023-10-30
Roger_Norrington,1934,40460.0,2023-10-30
David_Burke_(British_actor),1934,35218.0,2023-10-30
Piers_Anthony,1934,15959.0,2023-10-30
Nikolai_Tolstoy,1935,65177.0,2023-10-30
George_Carey,1935,35128.0,2023-10-30
Peter_Watkins,1935,32091.0,2023-10-30
Gary_Raymond,1935,74328.0,2023-10-30
Don_McCullin,1935,28575.0,2023-10-30
Mary_Berry,1935,36217.5,2023-10-30
James_Bolam,1935,97083.0,2023-10-30
Barbara_Leigh-Hunt,1935,56666.5,2023-10-30
"Norman_Foster,_Baron_Foster_of_Thames_Bank",1935,2586.0,2023-10-30
Magdi_Yacoub,1935,54222.5,2023-10-30
Julian_Glover,1935,10038.0,2023-10-30
"Prince_Edward,_Duke_of_Kent",1935,16861.5,2023-10-30
Michael_Jayston,1935,54940.0,2023-10-30
David_Lodge_(author),1935,11599.0,2023-10-30
Jim_Dale,1935,35672.5,2023-10-30
Christina_Pickles,1935,23842.0,2023-10-30
Stella_Rimington,1935,66599.5,2023-10-30
John_Leyton,1935,64498.0,2023-10-30
Judy_Parfitt,1935,32398.0,2023-10-30
Shirley_Collins,1935,54143.0,2023-10-30
Anne_Reid,1935,26123.0,2023-10-30
Wanda_Ventham,1935,61744.5,2023-10-30
Richard_Wilson_(Scottish_actor),1936,13639.0,2023-10-30
Brian_Blessed,1936,7972.0,2023-10-30
Ken_Loach,1936,2308.0,2023-10-30
James_Burke_(science_historian),1936,56730.0,2023-10-30
Gerald_Scarfe,1936,22462.0,2023-10-30
Andrew_Davies_(writer),1936,27629.0,2023-10-30
Bill_Wyman,1936,5268.0,2023-10-30
"Princess_Alexandra,_The_Honourable_Lady_Ogilvy",1936,23740.0,2023-10-30
Aga_Khan_IV,1936,9294.0,2023-10-30
Denis_Noble,1936,98708.5,2023-10-30
A._S._Byatt,1936,10905.0,2023-10-30
Peter_Cook_(architect),1936,40543.0,2023-10-30
Tommy_Steele,1936,27026.0,2023-10-30
Engelbert_Humperdinck_(singer),1936,5779.0,2023-10-30
Henry_Kamen,1936,81288.0,2023-10-30
Gwyneth_Jones_(soprano),1936,31920.0,2023-10-30
Peter_Lovesey,1936,51485.0,2023-10-30
Ralph_Steadman,1936,37007.0,2023-10-30
"Jacob_Rothschild,_4th_Baron_Rothschild",1936,32745.0,2023-10-30
Kenneth_Colley,1937,46256.0,2023-10-30
Roger_McGough,1937,49569.0,2023-10-30
Shirley_Bassey,1937,4538.0,2023-10-30
Steven_Berkoff,1937,10770.0,2023-10-30
Matthew_Carter,1937,49268.0,2023-10-30
Gordon_Milne,1937,99725.0,2023-10-30
Allen_Jones_(artist),1937,37572.0,2023-10-30
Dick_Clement,1937,62636.0,2023-10-30
Frank_Ifield,1937,50823.0,2023-10-30
Quinlan_Terry,1937,88221.0,2023-10-30
Brian_Lumley,1937,40699.0,2023-10-30
Tony_Harrison,1937,78931.5,2023-10-30
David_Seidler,1937,49517.0,2023-10-30
David_Hockney,1937,2709.0,2023-10-30
Peter_Burke_(historian),1937,26007.0,2023-10-30
Julian_Barbour,1937,72041.0,2023-10-30
Barbara_Steele,1937,23685.0,2023-10-30
"Caroline_Cox,_Baroness_Cox",1937,90997.0,2023-10-30
"Christopher_Tugendhat,_Baron_Tugendhat",1937,79888.5,2023-10-30
Colin_Renfrew,1937,31457.5,2023-10-30
Kevin_Connor_(director),1937,67748.0,2023-10-30
Shirley_Eaton,1937,20759.5,2023-10-30
Anita_Desai,1937,12354.5,2023-10-30
Susan_Hampshire,1937,23028.5,2023-10-30
Tom_Courtenay,1937,6288.5,2023-10-30
Tom_Stoppard,1937,3911.0,2023-10-30
Dee_Palmer,1937,57071.0,2023-10-30
Edward_Fox_(actor),1937,6095.0,2023-10-30
Clive_Wearing,1938,96413.0,2023-10-30
Howard_Blake,1938,64238.0,2023-10-30
Terence_Stamp,1938,3925.5,2023-10-30
Michael_Edwards_(literary_scholar),1938,85020.5,2023-10-30
David_Owen,1938,20551.0,2023-10-30
"Norman_Fowler,_Baron_Fowler",1938,58977.0,2023-10-30
David_Bailey,1938,15321.0,2023-10-30
Steven_Rose,1938,67352.5,2023-10-30
David_Steel,1938,29588.5,2023-10-30
Don_Black_(lyricist),1938,34926.0,2023-10-30
John_Prescott,1938,9924.0,2023-10-30
Perry_Anderson,1938,17864.5,2023-10-30
Keith_Ward,1938,81244.5,2023-10-30
David_Irving,1938,2516.0,2023-10-30
Ann_Jones_(tennis),1938,57025.0,2023-10-30
Waris_Hussein,1938,64621.0,2023-10-30
Derek_Jacobi,1938,3427.5,2023-10-30
Frederick_Forsyth,1938,5013.0,2023-10-30
Tony_Ross,1938,82977.0,2023-10-30
Alan_Ford_(actor),1938,75656.0,2023-10-30
Eleanor_Bron,1938,24506.0,2023-10-30
Waheeda_Rehman,1938,18657.5,2023-10-30
Shirley_Anne_Field,1938,86068.0,2023-10-30
Jayant_Narlikar,1938,11949.0,2023-10-30
Caryl_Churchill,1938,28204.0,2023-10-30
Kevin_Brownlow,1938,41238.0,2023-10-30
John_Harvey_(author),1938,61791.0,2023-10-30
Arthur_Scargill,1938,37567.5,2023-10-30
Herbie_Flowers,1938,73922.0,2023-10-30
Henry_Jaglom,1938,85396.0,2023-10-30
Janette_Scott,1938,84238.0,2023-10-30
Kathryn_Beaumont,1938,36510.0,2023-10-30
Anthony_Giddens,1938,4519.0,2023-10-30
